
=== Flow conditions ===
-- ue [m/s] = 869.1
-- pe [Pa] = 697.066
-- Te [K] = 55.2
-- Tw [K] = 97.5
-- Me = 5.83573
-- Taw [K] = 392.18
-- rhoe [kg/m^3] = 0.044
-- rhow [kg/m^3] = 0.0249108
-- delta [m] = 0.00124
-- Ny = 1000
-- mu_w [m^2/s] = 6.73838e-06
-- mu_e [m^2/s] = 3.60372e-06

=== Boundary layer values ===
-- Left:   delta = 0.00121917	 u_tau = 34.5228	 Re_tau = 155.598	 Cf = 0.00178664	 x = 0.050107
-- Center: delta = 0.00124	 u_tau = 34.4741	 Re_tau = 158.033	 Cf = 0.00178161	 x = 0.051107
-- Right:  delta = 0.00126077	 u_tau = 34.4265	 Re_tau = 160.457	 Cf = 0.00177668	 x = 0.052107

=== Left state ===
-- PI = 2.24693
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Center state ===
-- PI = 2.24312
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Right state ===
-- PI = 2.23942
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

-- Beginning interpolation
0.0444532	6.47881e-09
0.0887087	1.9408e-08
0.132513	3.87225e-08
0.176285	6.44191e-08
0.219475	9.64143e-08
0.262764	1.34725e-07
0.30537	1.79255e-07
0.348177	2.30035e-07
0.390234	2.86961e-07
0.432556	3.50075e-07
0.474097	4.19267e-07
0.515931	4.94585e-07
0.55699	5.75922e-07
0.598334	6.63325e-07
0.638944	7.56693e-07
0.679793	8.56067e-07
0.719989	9.6136e-07
0.760336	1.0726e-06
0.800152	1.18972e-06
0.839991	1.31272e-06
0.879463	1.44158e-06
0.918861	1.57627e-06
0.958813	1.7169e-06
0.996948	1.86321e-06
1.03643	2.0154e-06
1.07425	2.17324e-06
1.11325	2.33692e-06
1.15079	2.50623e-06
1.1893	2.68133e-06
1.22659	2.86205e-06
1.26459	3.04851e-06
1.30168	3.24058e-06
1.33916	3.43835e-06
1.37609	3.64173e-06
1.41315	3.85076e-06
1.45102	4.06559e-06
1.48657	4.28587e-06
1.52395	4.51191e-06
1.55936	4.74341e-06
1.59621	4.9806e-06
1.63154	5.22329e-06
1.66783	5.47163e-06
1.70313	5.72549e-06
1.73887	5.98495e-06
1.77442	6.25e-06
1.80963	6.52062e-06
1.84591	6.79697e-06
1.87985	7.07872e-06
1.91553	7.36616e-06
1.94955	7.65907e-06
1.98461	7.9576e-06
2.01876	8.26165e-06
2.0534	8.57131e-06
2.08884	8.88673e-06
2.1219	9.20756e-06
2.15692	9.53412e-06
2.18995	9.86614e-06
2.22429	1.02038e-05
2.25757	1.05471e-05
2.29149	1.0896e-05
2.32626	1.12507e-05
2.3585	1.16108e-05
2.39274	1.19767e-05
2.42513	1.23482e-05
2.45861	1.27254e-05
2.49138	1.31081e-05
2.52469	1.34967e-05
2.55877	1.38911e-05
2.59043	1.4291e-05
2.6237	1.46968e-05
2.65584	1.51082e-05
2.68878	1.55254e-05
2.72261	1.59487e-05
2.75373	1.63775e-05
2.78669	1.68122e-05
2.8184	1.72526e-05
2.85102	1.7699e-05
2.8845	1.81514e-05
2.91529	1.86095e-05
2.94783	1.90736e-05
2.97931	1.95435e-05
3.01168	2.00195e-05
3.04466	2.05016e-05
3.07536	2.09895e-05
3.10759	2.14835e-05
3.13971	2.19837e-05
3.17097	2.24898e-05
3.20331	2.30022e-05
3.23416	2.35205e-05
3.2662	2.40451e-05
3.29886	2.45761e-05
3.32914	2.51131e-05
3.3611	2.56564e-05
3.39321	2.62061e-05
3.42383	2.67619e-05
3.45571	2.73242e-05
3.48678	2.78928e-05
3.51826	2.84679e-05
3.55019	2.90494e-05
3.58069	2.96374e-05
3.61248	3.02319e-05
3.64452	3.08331e-05
3.67479	3.14407e-05
3.70655	3.2055e-05
3.73863	3.26761e-05
3.76876	3.33038e-05
3.80051	3.39383e-05
3.83256	3.45797e-05
3.86265	3.52277e-05
3.89441	3.58827e-05
3.92635	3.65447e-05
3.95651	3.72135e-05
3.98828	3.78893e-05
4.02008	3.85723e-05
4.05043	3.92623e-05
4.08219	3.99594e-05
4.11402	4.06639e-05
4.14504	4.13755e-05
4.17617	4.20944e-05
4.20806	4.28207e-05
4.23991	4.35545e-05
4.27027	4.42955e-05
4.30222	4.50441e-05
4.33421	4.58004e-05
4.36457	4.6564e-05
4.39657	4.73354e-05
4.42865	4.81146e-05
4.46032	4.89016e-05
4.49114	4.96963e-05
4.52332	5.04989e-05
4.55554	5.13096e-05
4.5865	5.21281e-05
4.61828	5.29547e-05
4.65062	5.37895e-05
4.68302	5.46326e-05
4.71372	5.54837e-05
4.74604	5.63433e-05
4.77859	5.72112e-05
4.81119	5.80878e-05
4.84202	5.89726e-05
4.87455	5.9866e-05
4.90731	6.07682e-05
4.94014	6.16792e-05
4.97148	6.25988e-05
5.0039	6.35273e-05
5.03691	6.44648e-05
5.06998	6.54114e-05
5.10217	6.63671e-05
5.1342	6.73317e-05
5.16747	6.83057e-05
5.20082	6.92891e-05
5.23425	7.0282e-05
5.26631	7.12841e-05
5.29911	7.22958e-05
5.33276	7.33172e-05
5.36649	7.43484e-05
5.40031	7.53895e-05
5.43282	7.64403e-05
5.4659	7.75011e-05
5.49996	7.85719e-05
5.53411	7.9653e-05
5.56836	8.07444e-05
5.60216	8.18462e-05
5.63528	8.29582e-05
5.66926	8.40807e-05
5.70388	8.52139e-05
5.73859	8.63578e-05
5.7734	8.75127e-05
5.80808	8.86785e-05
5.84179	8.98551e-05
5.87607	9.10427e-05
5.91117	9.22416e-05
5.94649	9.34518e-05
5.98192	9.46735e-05
6.01746	9.59068e-05
6.05311	9.71518e-05
6.08786	9.84084e-05
6.12276	9.96767e-05
6.15815	0.000100957
6.19421	0.000102249
6.23041	0.000103554
6.26673	0.00010487
6.30317	0.0001062
6.33973	0.000107541
6.37641	0.000108896
