yp, y, ul, u, ur, v, T, rho
0,0,0,0,0,0,97.5,0.0249108
0.0185488,1.45745e-07,0.642847,0.640148,0.639262,0,97.7169,0.0248555
0.0370981,2.91493e-07,1.28582,1.28041,1.27863,0,97.9334,0.0248005
0.0556483,4.37249e-07,1.93012,1.922,1.91934,0,98.15,0.0247458
0.0741999,5.83015e-07,2.57468,2.56383,2.56027,0,98.3664,0.0246914
0.0927534,7.28796e-07,3.2205,3.20694,3.20249,0,98.5828,0.0246372
0.111309,8.74596e-07,3.86672,3.85041,3.84506,0,98.7989,0.0245833
0.129868,1.02042e-06,4.51413,4.4951,4.48885,0,99.0151,0.0245296
0.14843,1.16626e-06,5.16208,5.14028,5.13313,0,99.2311,0.0244762
0.166995,1.31214e-06,5.81115,5.78661,5.77856,0,99.4471,0.024423
0.185565,1.45805e-06,6.46089,6.43358,6.42461,0,99.6629,0.0243701
0.204139,1.60399e-06,7.11168,7.08161,7.07174,0,99.8787,0.0243175
0.222719,1.74998e-06,7.76329,7.73044,7.71964,0,100.094,0.0242651
0.241304,1.89601e-06,8.41587,8.38024,8.36855,0,100.31,0.0242129
0.259895,2.04209e-06,9.06942,9.03099,9.01837,0,100.526,0.024161
0.278493,2.18821e-06,9.72386,9.68264,9.66911,0,100.741,0.0241093
0.297097,2.3344e-06,10.3794,10.3354,10.3209,0,100.957,0.0240578
0.315709,2.48064e-06,11.0358,10.9889,10.9736,0,101.172,0.0240066
0.334329,2.62694e-06,11.6934,11.6438,11.6275,0,101.387,0.0239556
0.352958,2.77331e-06,12.3518,12.2993,12.2821,0,101.603,0.0239049
0.371595,2.91975e-06,13.0116,12.9563,12.9381,0,101.818,0.0238543
0.390241,3.06626e-06,13.672,13.6138,13.5947,0,102.033,0.023804
0.408897,3.21285e-06,14.334,14.273,14.253,0,102.249,0.0237539
0.427564,3.35952e-06,14.9967,14.9328,14.9118,0,102.464,0.023704
0.446241,3.50627e-06,15.661,15.5942,15.5723,0,102.679,0.0236543
0.46493,3.65312e-06,16.326,16.2563,16.2334,0,102.894,0.0236049
0.48363,3.80005e-06,16.9924,16.9199,16.8961,0,103.109,0.0235556
0.502342,3.94708e-06,17.6599,17.5845,17.5596,0,103.324,0.0235066
0.521066,4.0942e-06,18.3287,18.2504,18.2246,0,103.539,0.0234577
0.539804,4.24143e-06,18.9986,18.9174,18.8906,0,103.755,0.0234091
0.558556,4.38877e-06,19.6698,19.5856,19.558,0,103.97,0.0233607
0.577321,4.53621e-06,20.3423,20.2552,20.2266,0,104.185,0.0233124
0.596101,4.68377e-06,21.0159,20.9259,20.8963,0,104.4,0.0232644
0.614895,4.83145e-06,21.6911,21.5981,21.5675,0,104.615,0.0232166
0.633705,4.97925e-06,22.3672,22.2713,22.2398,0,104.83,0.0231689
0.652531,5.12717e-06,23.0451,22.9463,22.9137,0,105.045,0.0231214
0.671374,5.27522e-06,23.724,23.6221,23.5885,0,105.26,0.0230742
0.690233,5.4234e-06,24.4046,24.2998,24.2653,0,105.476,0.0230271
0.709109,5.57172e-06,25.0863,24.9784,24.9429,0,105.691,0.0229802
0.728004,5.72018e-06,25.7696,25.6588,25.6223,0,105.906,0.0229335
0.746916,5.86878e-06,26.4542,26.3404,26.3029,0,106.122,0.022887
0.765847,6.01753e-06,27.1403,27.0235,26.985,0,106.337,0.0228406
0.784797,6.16643e-06,27.828,27.7081,27.6686,0,106.552,0.0227944
0.803767,6.31549e-06,28.517,28.394,28.3536,0,106.768,0.0227485
0.822758,6.4647e-06,29.2077,29.0817,29.0402,0,106.983,0.0227026
0.841768,6.61407e-06,29.8996,29.7705,29.7281,0,107.199,0.022657
0.8608,6.76361e-06,30.5935,30.4614,30.4179,0,107.414,0.0226115
0.879853,6.91332e-06,31.2887,31.1534,31.1088,0,107.63,0.0225662
0.898929,7.0632e-06,31.9856,31.8473,31.8018,0,107.846,0.0225211
0.918027,7.21326e-06,32.684,32.5426,32.496,0,108.062,0.0224761
0.937148,7.3635e-06,33.3841,33.2396,33.192,0,108.277,0.0224313
0.956292,7.51393e-06,34.0859,33.9383,33.8897,0,108.493,0.0223866
0.97546,7.66454e-06,34.7892,34.6385,34.5888,0,108.709,0.0223421
0.994653,7.81534e-06,35.4945,35.3406,35.2899,0,108.925,0.0222978
1.01387,7.96634e-06,36.2012,36.0441,35.9923,0,109.142,0.0222537
1.03311,8.11754e-06,36.9099,36.7497,36.6969,0,109.358,0.0222096
1.05238,8.26895e-06,37.6202,37.4568,37.4029,0,109.574,0.0221658
1.07168,8.42056e-06,38.3324,38.1657,38.1108,0,109.791,0.0221221
1.091,8.57238e-06,39.0463,38.8765,38.8205,0,110.007,0.0220785
1.11035,8.72441e-06,39.7619,39.5889,39.5319,0,110.224,0.0220351
1.12973,8.87667e-06,40.4796,40.3034,40.2453,0,110.441,0.0219919
1.14913,9.02915e-06,41.199,41.0194,40.9602,0,110.658,0.0219488
1.16857,9.18185e-06,41.9204,41.7377,41.6774,0,110.875,0.0219058
1.18803,9.33478e-06,42.6436,42.4576,42.3962,0,111.092,0.021863
1.20752,9.48795e-06,43.3688,43.1795,43.1171,0,111.309,0.0218204
1.22705,9.64135e-06,44.0959,43.9034,43.8399,0,111.526,0.0217779
1.2466,9.795e-06,44.8249,44.629,44.5645,0,111.743,0.0217355
1.26619,9.94889e-06,45.5561,45.357,45.2913,0,111.961,0.0216933
1.28581,1.0103e-05,46.2892,46.0866,46.0198,0,112.179,0.0216512
1.30546,1.02574e-05,47.0243,46.8185,46.7506,0,112.397,0.0216092
1.32514,1.04121e-05,47.7615,47.5524,47.4833,0,112.614,0.0215674
1.34485,1.0567e-05,48.5007,48.2882,48.2181,0,112.832,0.0215257
1.3646,1.07222e-05,49.2422,49.0263,48.9551,0,113.051,0.0214842
1.38439,1.08776e-05,49.9856,49.7663,49.6939,0,113.269,0.0214428
1.4042,1.10333e-05,50.7314,50.5087,50.4352,0,113.487,0.0214015
1.42406,1.11893e-05,51.4792,51.2531,51.1784,0,113.706,0.0213603
1.44395,1.13456e-05,52.2291,51.9996,51.9239,0,113.925,0.0213193
1.46387,1.15022e-05,52.9815,52.7485,52.6716,0,114.144,0.0212784
1.48383,1.1659e-05,53.7359,53.4994,53.4213,0,114.363,0.0212377
1.50383,1.18161e-05,54.4927,54.2528,54.1736,0,114.582,0.0211971
1.52387,1.19736e-05,55.2517,55.0083,54.928,0,114.801,0.0211565
1.54394,1.21313e-05,56.0129,55.766,55.6846,0,115.021,0.0211162
1.56406,1.22893e-05,56.7767,56.5263,56.4437,0,115.24,0.0210759
1.58421,1.24477e-05,57.5426,57.2887,57.2049,0,115.46,0.0210358
1.6044,1.26064e-05,58.311,58.0536,57.9687,0,115.68,0.0209958
1.62463,1.27653e-05,59.0819,58.8209,58.7348,0,115.9,0.0209559
1.64491,1.29246e-05,59.855,59.5904,59.5031,0,116.121,0.0209162
1.66522,1.30842e-05,60.6308,60.3627,60.2742,0,116.341,0.0208765
1.68558,1.32442e-05,61.4089,61.1372,61.0474,0,116.562,0.020837
1.70598,1.34045e-05,62.1894,61.9141,61.8232,0,116.783,0.0207976
1.72642,1.35651e-05,62.9727,62.6938,62.6016,0,117.004,0.0207583
1.7469,1.3726e-05,63.7583,63.4757,63.3823,0,117.225,0.0207192
1.76743,1.38873e-05,64.5466,64.2603,64.1658,0,117.446,0.0206801
1.788,1.4049e-05,65.3374,65.0476,64.9518,0,117.668,0.0206412
1.80862,1.4211e-05,66.1308,65.8372,65.7402,0,117.889,0.0206024
1.82928,1.43733e-05,66.927,66.6297,66.5315,0,118.111,0.0205637
1.84999,1.4536e-05,67.7257,67.4248,67.3253,0,118.333,0.0205251
1.87074,1.46991e-05,68.5271,68.2223,68.1217,0,118.555,0.0204867
1.89155,1.48625e-05,69.3313,69.0229,68.921,0,118.778,0.0204483
1.91239,1.50264e-05,70.1382,69.826,69.7228,0,119,0.02041
